State,District,Murder,Attempt_to_commit_Murder,Rape,Kidnapping_Abduction,Robbery,Burglary,Theft,Riots,Cheating,Hurt,Dowry_Deaths,Assault_on_Women,Sexual_Harassment,Stalking,Death_by_Negligence,Extortion,Incidence_of_Rash_Driving,Total
Jammu & Kashmir,Kupwara,7,25,8,42,0,34,34,159,7,7,0,61,61,0,8,0,105,558
Jammu & Kashmir,Leh,1,0,6,1,0,7,8,0,10,2,0,3,0,0,0,0,0,38
Jammu & Kashmir,Poonch,8,15,13,36,0,38,30,85,10,76,0,42,42,0,19,0,131,545
Jammu & Kashmir,Pulwama,5,13,7,21,5,16,20,63,6,37,0,20,0,0,7,0,49,269
Jammu & Kashmir,Railways Jammu,1,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,2,11
Jammu & Kashmir,Railways Kashmir,0,0,0,0,0,2,1,3,0,0,0,2,0,0,0,0,1,9
Jammu & Kashmir,Railways Katra,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Jammu & Kashmir,Rajouri,18,29,39,62,1,44,56,34,28,18,0,65,65,0,42,0,343,844
Jammu & Kashmir,Ramban,3,7,8,23,0,17,41,2,7,5,0,25,0,0,38,0,219,395
Jammu & Kashmir,Reasi,1,10,16,29,0,20,34,28,9,12,0,18,0,1,29,0,175,382
Jammu & Kashmir,Samba,4,20,7,12,1,29,33,34,10,8,0,10,0,0,1,0,307,476
Jammu & Kashmir,Shopian,5,39,1,37,6,17,49,74,2,0,0,30,0,0,10,0,44,314
Jammu & Kashmir,Sopore,9,34,8,40,3,75,62,45,2,0,0,83,0,0,4,0,76,441
Jammu & Kashmir,Srinagar,5,34,12,71,36,238,375,130,77,8,0,218,1,0,51,0,323,1579
Jammu & Kashmir,Udhampur,8,17,30,19,0,48,54,3,7,6,0,23,0,0,56,0,445,716
Jammu & Kashmir,Total,156,484,331,860,89,1367,1773,1462,497,341,5,1421,242,1,782,0,5003,14814
Jharkhand,Bokaro,43,13,63,97,41,114,752,136,147,0,18,0,0,0,0,31,0,1455
Jharkhand,Chaibasa,120,45,54,46,16,34,163,0,43,23,2,22,11,0,99,10,75,763
Jharkhand,Chatra,59,3,18,37,8,20,141,86,35,14,62,19,0,0,44,12,63,621
Jharkhand,Deoghar,43,67,25,63,17,84,343,91,98,564,28,21,6,0,73,14,88,1625
